"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","170","Change password - successful","QA|Nova Bank - Infopool","Sun Jan 04 20:12:42 UTC 2026","broken","Sun Jan 04 20:12:42 UTC 2026","v1 > Profile > Password","Bank User","",""
"","154","No auth - update role","QA|Nova Bank - Infopool","Sun Jan 04 20:13:00 UTC 2026","broken","Sun Jan 04 20:13:00 UTC 2026","v1 > Users > Role > Update role","Bank Admin","",""
"","173","Empty password - Send user invitation token","QA|Nova Bank - Infopool","Sun Jan 04 20:12:47 UTC 2026","broken","Sun Jan 04 20:12:47 UTC 2026","v1 > Onboarding > Complete profile","Bank User","",""
"Delete a report (soft delete)","159","Delete Report","QA|Nova Bank - Infopool","Sun Jan 04 20:13:14 UTC 2026","broken","Sun Jan 04 20:13:14 UTC 2026","v1 > Report > Delete Report","Bank Admin","",""
"","158","Update role status","QA|Nova Bank - Infopool","Sun Jan 04 20:13:07 UTC 2026","broken","Sun Jan 04 20:13:07 UTC 2026","v1 > Roles > Update role","Bank Admin","",""
"Delete a report (soft delete)","169","Delete Report - Invalid id","QA|Nova Bank - Infopool","Sun Jan 04 20:13:14 UTC 2026","broken","Sun Jan 04 20:13:14 UTC 2026","v1 > Report > Delete Report","Bank Admin","",""
"","164","Empty priority - Create a New Issue","QA|Nova Bank - Infopool","Sun Jan 04 20:12:47 UTC 2026","broken","Sun Jan 04 20:12:47 UTC 2026","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","186","Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jan 04 20:12:40 UTC 2026","broken","Sun Jan 04 20:12:40 UTC 2026","v1 > Auth > MFA > Request","Bank User","",""
"","157","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Sun Jan 04 20:12:57 UTC 2026","broken","Sun Jan 04 20:12:58 UTC 2026","v1 > Users > Fetch user by ID","Bank Admin","",""
"","169","No Auth - Fetch all organizations","QA|Nova Bank - Infopool","Sun Jan 04 20:13:02 UTC 2026","broken","Sun Jan 04 20:13:02 UTC 2026","v1 > Organizations > Fetch organization","Bank Admin","",""
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
    ","167","Invalid OTP - Verify MFA code, MFA backup code, Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jan 04 20:12:41 UTC 2026","broken","Sun Jan 04 20:12:41 UTC 2026","v1 > Auth > MFA > Verify","Bank User","",""
"","178","update role","QA|Nova Bank - Infopool","Sun Jan 04 20:12:59 UTC 2026","broken","Sun Jan 04 20:12:59 UTC 2026","v1 > Users > Role > Update role","Bank Admin","",""
"","171","Add Comment to Issue","QA|Nova Bank - Infopool","Sun Jan 04 20:12:49 UTC 2026","broken","Sun Jan 04 20:12:49 UTC 2026","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","163","Fetch Customer By ID no Auth","QA|Nova Bank - Infopool","Sun Jan 04 20:12:53 UTC 2026","broken","Sun Jan 04 20:12:53 UTC 2026","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","155","Fetch user by ID - successful","QA|Nova Bank - Infopool","Sun Jan 04 20:12:57 UTC 2026","broken","Sun Jan 04 20:12:57 UTC 2026","v1 > Users > Fetch user by ID","Bank Admin","",""
"","160","No Auth - Update Issue","QA|Nova Bank - Infopool","Sun Jan 04 20:12:49 UTC 2026","broken","Sun Jan 04 20:12:49 UTC 2026","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","163","Update user - empty action field","QA|Nova Bank - Infopool","Sun Jan 04 20:12:59 UTC 2026","broken","Sun Jan 04 20:12:59 UTC 2026","v1 > Users > Update user","Bank Admin","",""
"","165","Update organization details by ID - name already exists","QA|Nova Bank - Infopool","Sun Jan 04 20:13:03 UTC 2026","broken","Sun Jan 04 20:13:03 UTC 2026","v1 > Organizations > Update organization","Bank Admin","",""
"","163","Get profile - successfully","QA|Nova Bank - Infopool","Sun Jan 04 20:12:43 UTC 2026","broken","Sun Jan 04 20:12:43 UTC 2026","v1 > Profile > Get profile","Bank User","",""
"","164","Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Sun Jan 04 20:13:05 UTC 2026","broken","Sun Jan 04 20:13:05 UTC 2026","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","166","Create organization - organization type ID does not exist","QA|Nova Bank - Infopool","Sun Jan 04 20:13:01 UTC 2026","broken","Sun Jan 04 20:13:01 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"","169","Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Sun Jan 04 20:12:54 UTC 2026","broken","Sun Jan 04 20:12:54 UTC 2026","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","167","No Auth - Get all definitions","QA|Nova Bank - Infopool","Sun Jan 04 20:12:56 UTC 2026","broken","Sun Jan 04 20:12:56 UTC 2026","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
