"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","539","Weak password - Change password","QA|Nova Bank - Infopool","Fri Jun 06 14:51:42 GMT 2025","passed","Fri Jun 06 14:51:43 GMT 2025","v1 > Profile > Password","Bank User","",""
"","3324","Empty issue - Create a New Issue","QA|Nova Bank - Infopool","Fri Jun 06 14:51:48 GMT 2025","passed","Fri Jun 06 14:51:51 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","77","Get all definitions","QA|Nova Bank - Infopool","Fri Jun 06 14:53:12 GMT 2025","passed","Fri Jun 06 14:53:12 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","78","successful dashboard embed","QA|Nova Bank - Infopool","Fri Jun 06 14:53:12 GMT 2025","passed","Fri Jun 06 14:53:12 GMT 2025","embed dashboard","Bank User","",""
"","89","No user credentials","QA|Nova Bank - Infopool","Fri Jun 06 14:51:39 GMT 2025","passed","Fri Jun 06 14:51:39 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","115","Add attachment to issue","QA|Nova Bank - Infopool","Fri Jun 06 14:51:56 GMT 2025","failed","Fri Jun 06 14:51:56 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","100","No auth - Delete Attachment from Issue","QA|Nova Bank - Infopool","Fri Jun 06 14:51:56 GMT 2025","passed","Fri Jun 06 14:51:56 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","323","No auth - Create a New Issue","QA|Nova Bank - Infopool","Fri Jun 06 14:51:48 GMT 2025","passed","Fri Jun 06 14:51:48 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","91","Get profile roles - successful","QA|Nova Bank - Infopool","Fri Jun 06 14:51:41 GMT 2025","passed","Fri Jun 06 14:51:41 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","223","verifyOTP","QA|Nova Bank - Infopool","Fri Jun 06 14:51:39 GMT 2025","passed","Fri Jun 06 14:51:39 GMT 2025","v1 > Auth > Session > verify OTP","Bank User","",""
"","217","Add user to an organization - successful","QA|Nova Bank - Infopool","Fri Jun 06 14:53:17 GMT 2025","passed","Fri Jun 06 14:53:17 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","75","Fetch all users","QA|Nova Bank - Infopool","Fri Jun 06 14:53:13 GMT 2025","passed","Fri Jun 06 14:53:13 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","110","Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Jun 06 14:51:41 GMT 2025","passed","Fri Jun 06 14:51:41 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","116","Empty first name - Send user invitation token","QA|Nova Bank - Infopool","Fri Jun 06 14:51:46 GMT 2025","passed","Fri Jun 06 14:51:46 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","91","Update organization details by ID - parent_id","QA|Nova Bank - Infopool","Fri Jun 06 14:53:16 GMT 2025","passed","Fri Jun 06 14:53:16 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","85","Remove user from an organization - user ID does not exist","QA|Nova Bank - Infopool","Fri Jun 06 14:53:18 GMT 2025","passed","Fri Jun 06 14:53:18 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","82","Empty Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Jun 06 14:51:40 GMT 2025","passed","Fri Jun 06 14:51:40 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","89","User does not exist - Forgot Password","QA|Nova Bank - Infopool","Fri Jun 06 14:51:39 GMT 2025","passed","Fri Jun 06 14:51:40 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","76","Empty fields - Update definition","QA|Nova Bank - Infopool","Fri Jun 06 14:53:13 GMT 2025","passed","Fri Jun 06 14:53:13 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","77","Update user - ID does not exist","QA|Nova Bank - Infopool","Fri Jun 06 14:53:13 GMT 2025","passed","Fri Jun 06 14:53:13 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","213","Fetch Customer By ID","QA|Nova Bank - Infopool","Fri Jun 06 14:51:58 GMT 2025","passed","Fri Jun 06 14:51:58 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","76","No auth - Fetch all users in an organization","QA|Nova Bank - Infopool","Fri Jun 06 14:53:17 GMT 2025","passed","Fri Jun 06 14:53:17 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","80","Update profile - no auth","QA|Nova Bank - Infopool","Fri Jun 06 14:51:44 GMT 2025","passed","Fri Jun 06 14:51:44 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","100","No Auth - Get Issue by ID","QA|Nova Bank - Infopool","Fri Jun 06 14:51:55 GMT 2025","passed","Fri Jun 06 14:51:55 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","73","No Auth - Fetch all organizations","QA|Nova Bank - Infopool","Fri Jun 06 14:53:15 GMT 2025","passed","Fri Jun 06 14:53:15 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","73","get user role","QA|Nova Bank - Infopool","Fri Jun 06 14:53:14 GMT 2025","passed","Fri Jun 06 14:53:14 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","74","No Auth - Fetch all users","QA|Nova Bank - Infopool","Fri Jun 06 14:53:13 GMT 2025","passed","Fri Jun 06 14:53:13 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","3373","Empty priority - Create a New Issue","QA|Nova Bank - Infopool","Fri Jun 06 14:51:51 GMT 2025","failed","Fri Jun 06 14:51:55 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","80","No Auth - Add Comment to Issue","QA|Nova Bank - Infopool","Fri Jun 06 14:51:56 GMT 2025","passed","Fri Jun 06 14:51:56 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
