"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","138","Empty current password - Change password","QA|Nova Bank - Infopool","Sun Jun 08 22:31:42 GMT 2025","passed","Sun Jun 08 22:31:42 GMT 2025","v1 > Profile > Password","Bank User","",""
"","39","Update user - no auth","QA|Nova Bank - Infopool","Sun Jun 08 22:33:16 GMT 2025","passed","Sun Jun 08 22:33:16 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","37","No auth - Create  organization","QA|Nova Bank - Infopool","Sun Jun 08 22:33:16 GMT 2025","passed","Sun Jun 08 22:33:16 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","39","Create organization - operations manager ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 22:33:16 GMT 2025","passed","Sun Jun 08 22:33:16 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","152","Invalid user phone number - Search Customers","QA|Nova Bank - Infopool","Sun Jun 08 22:32:01 GMT 2025","passed","Sun Jun 08 22:32:01 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"Delete a report (soft delete)","36","Delete Report -No auth","QA|Nova Bank - Infopool","Sun Jun 08 22:33:19 GMT 2025","passed","Sun Jun 08 22:33:20 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","40","Empty fields - Update definition","QA|Nova Bank - Infopool","Sun Jun 08 22:33:15 GMT 2025","passed","Sun Jun 08 22:33:15 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","37","Create organization - empty mis code","QA|Nova Bank - Infopool","Sun Jun 08 22:33:17 GMT 2025","passed","Sun Jun 08 22:33:17 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","53","Invalid Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 08 22:31:38 GMT 2025","passed","Sun Jun 08 22:31:38 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"Get a paginated list of reports with optional filtering","38","Get Reports","QA|Nova Bank - Infopool","Sun Jun 08 22:33:19 GMT 2025","passed","Sun Jun 08 22:33:19 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","37","Remove user from an organization - user ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 22:33:18 GMT 2025","passed","Sun Jun 08 22:33:18 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","42","Invalid authentication - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 22:31:52 GMT 2025","passed","Sun Jun 08 22:31:52 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","40","No Auth - Fetch Customers Transactions","QA|Nova Bank - Infopool","Sun Jun 08 22:32:08 GMT 2025","passed","Sun Jun 08 22:32:08 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","130","Get Report Data - No auth","QA|Nova Bank - Infopool","Sun Jun 08 22:33:23 GMT 2025","passed","Sun Jun 08 22:33:23 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","40","Fetch Customers Channels","QA|Nova Bank - Infopool","Sun Jun 08 22:33:15 GMT 2025","passed","Sun Jun 08 22:33:15 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","37","No auth - Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Sun Jun 08 22:33:17 GMT 2025","passed","Sun Jun 08 22:33:17 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","140","Empty issue category - Create a New Issue","QA|Nova Bank - Infopool","Sun Jun 08 22:31:54 GMT 2025","passed","Sun Jun 08 22:31:54 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","65","Get profile roles - successful","QA|Nova Bank - Infopool","Sun Jun 08 22:31:39 GMT 2025","passed","Sun Jun 08 22:31:39 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","45","Get profile roles - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 22:31:39 GMT 2025","passed","Sun Jun 08 22:31:39 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","39","Delete organization details by ID - No auth","QA|Nova Bank - Infopool","Sun Jun 08 22:33:17 GMT 2025","passed","Sun Jun 08 22:33:17 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","439","Empty priority - Create a New Issue","QA|Nova Bank - Infopool","Sun Jun 08 22:31:53 GMT 2025","failed","Sun Jun 08 22:31:54 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"Get a specific report by ID","37","Get Report by UUID - Invalid uuid","QA|Nova Bank - Infopool","Sun Jun 08 22:33:19 GMT 2025","passed","Sun Jun 08 22:33:19 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","752","Get Report Data - Question","QA|Nova Bank - Infopool","Sun Jun 08 22:33:20 GMT 2025","failed","Sun Jun 08 22:33:21 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","926","reset password","QA|Nova Bank - Infopool","Sun Jun 08 22:31:37 GMT 2025","passed","Sun Jun 08 22:31:38 GMT 2025","v1 > Auth > Forgot password > Reset password","Bank User","",""
"","3249","Search Customers","QA|Nova Bank - Infopool","Sun Jun 08 22:31:58 GMT 2025","passed","Sun Jun 08 22:32:01 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","39","Fetch all users in an organization","QA|Nova Bank - Infopool","Sun Jun 08 22:33:17 GMT 2025","passed","Sun Jun 08 22:33:17 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","38","Update user - successful","QA|Nova Bank - Infopool","Sun Jun 08 22:33:16 GMT 2025","passed","Sun Jun 08 22:33:16 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"Create a new report","40","Create Report","QA|Nova Bank - Infopool","Sun Jun 08 22:33:19 GMT 2025","passed","Sun Jun 08 22:33:19 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","92","audit trail - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 22:31:51 GMT 2025","passed","Sun Jun 08 22:31:51 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
