"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","152","Update profile - no auth","QA|Nova Bank - Infopool","Sun Jun 08 21:58:31 GMT 2025","passed","Sun Jun 08 21:58:31 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","269","Forgot password - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:58:17 GMT 2025","failed","Sun Jun 08 21:58:17 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","77","Update user - no auth","QA|Nova Bank - Infopool","Sun Jun 08 22:00:08 GMT 2025","passed","Sun Jun 08 22:00:08 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
    ","271","Invalid OTP - Verify MFA code, MFA backup code, Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 08 21:58:19 GMT 2025","failed","Sun Jun 08 21:58:19 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","453","Add Comment to Issue","QA|Nova Bank - Infopool","Sun Jun 08 21:58:45 GMT 2025","passed","Sun Jun 08 21:58:45 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","79","Update organization details by ID - No auth","QA|Nova Bank - Infopool","Sun Jun 08 22:00:10 GMT 2025","passed","Sun Jun 08 22:00:10 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","2707","Fetch Customers Transactions","QA|Nova Bank - Infopool","Sun Jun 08 21:58:51 GMT 2025","passed","Sun Jun 08 21:58:53 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","77","No Auth - Update definition","QA|Nova Bank - Infopool","Sun Jun 08 22:00:07 GMT 2025","passed","Sun Jun 08 22:00:07 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","79","Create organization - name already exists","QA|Nova Bank - Infopool","Sun Jun 08 22:00:09 GMT 2025","passed","Sun Jun 08 22:00:09 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","3745","Update profile - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:58:27 GMT 2025","passed","Sun Jun 08 21:58:31 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","77","No Auth - Search Customers","QA|Nova Bank - Infopool","Sun Jun 08 21:58:49 GMT 2025","passed","Sun Jun 08 21:58:49 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","118","No email - Forgot Password","QA|Nova Bank - Infopool","Sun Jun 08 21:58:17 GMT 2025","passed","Sun Jun 08 21:58:17 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","167","Invalid ID - Delete Customer Comment","QA|Nova Bank - Infopool","Sun Jun 08 21:58:48 GMT 2025","passed","Sun Jun 08 21:58:48 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","627","Get profile - successfully","QA|Nova Bank - Infopool","Sun Jun 08 21:58:26 GMT 2025","passed","Sun Jun 08 21:58:27 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","138","Empty issue category - Create a New Issue","QA|Nova Bank - Infopool","Sun Jun 08 21:58:37 GMT 2025","passed","Sun Jun 08 21:58:37 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","151","Invalid authentication - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 21:58:34 GMT 2025","passed","Sun Jun 08 21:58:34 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","634","Empty issue - Create a New Issue","QA|Nova Bank - Infopool","Sun Jun 08 21:58:36 GMT 2025","passed","Sun Jun 08 21:58:36 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","74","Fetch all users","QA|Nova Bank - Infopool","Sun Jun 08 22:00:08 GMT 2025","passed","Sun Jun 08 22:00:08 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","354","Get events - invalid end date","QA|Nova Bank - Infopool","Sun Jun 08 21:58:32 GMT 2025","passed","Sun Jun 08 21:58:33 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","660","Weak password - Change password","QA|Nova Bank - Infopool","Sun Jun 08 21:58:22 GMT 2025","passed","Sun Jun 08 21:58:23 GMT 2025","v1 > Profile > Password","Bank User","",""
"","155","Empty first name - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 21:58:35 GMT 2025","passed","Sun Jun 08 21:58:35 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","144","Update Customer Comment","QA|Nova Bank - Infopool","Sun Jun 08 21:58:47 GMT 2025","failed","Sun Jun 08 21:58:47 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","155","No Auth - Change password","QA|Nova Bank - Infopool","Sun Jun 08 21:58:21 GMT 2025","passed","Sun Jun 08 21:58:21 GMT 2025","v1 > Profile > Password","Bank User","",""
"","138","Delete Attachment from Issue","QA|Nova Bank - Infopool","Sun Jun 08 21:58:45 GMT 2025","failed","Sun Jun 08 21:58:46 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","150","No Auth - Get all Issues","QA|Nova Bank - Infopool","Sun Jun 08 21:58:41 GMT 2025","passed","Sun Jun 08 21:58:41 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
