"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","26","Update user - no auth","QA|Nova Bank - Infopool","Sun Apr 06 20:24:50 GMT 2025","passed","Sun Apr 06 20:24:50 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","357","Create a New Issue","QA|Nova Bank - Infopool","Sun Apr 06 20:24:37 GMT 2025","passed","Sun Apr 06 20:24:38 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","77","Create  organization","QA|Nova Bank - Infopool","Sun Apr 06 20:24:51 GMT 2025","passed","Sun Apr 06 20:24:51 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","74","audit trail","QA|Nova Bank - Infopool","Sun Apr 06 20:24:37 GMT 2025","passed","Sun Apr 06 20:24:37 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","24","No auth - managers","QA|Nova Bank - Infopool","Sun Apr 06 20:24:53 GMT 2025","passed","Sun Apr 06 20:24:53 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","38","managers","QA|Nova Bank - Infopool","Sun Apr 06 20:24:53 GMT 2025","passed","Sun Apr 06 20:24:53 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","80","Invalid user phone number - Search Customers","QA|Nova Bank - Infopool","Sun Apr 06 20:24:39 GMT 2025","passed","Sun Apr 06 20:24:39 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","51","Role does not exist - update role","QA|Nova Bank - Infopool","Sun Apr 06 20:24:51 GMT 2025","passed","Sun Apr 06 20:24:51 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","29","No Auth - Update Issue","QA|Nova Bank - Infopool","Sun Apr 06 20:24:38 GMT 2025","passed","Sun Apr 06 20:24:38 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","40","get all category","QA|Nova Bank - Infopool","Sun Apr 06 20:24:53 GMT 2025","passed","Sun Apr 06 20:24:53 GMT 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","36","Invalid attachment id - Delete Attachment from Issue","QA|Nova Bank - Infopool","Sun Apr 06 20:24:38 GMT 2025","failed","Sun Apr 06 20:24:38 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","79","Get all definitions","QA|Nova Bank - Infopool","Sun Apr 06 20:24:50 GMT 2025","passed","Sun Apr 06 20:24:50 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","25","No Auth - Search Customers","QA|Nova Bank - Infopool","Sun Apr 06 20:24:39 GMT 2025","passed","Sun Apr 06 20:24:39 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","35","Invalid Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Apr 06 20:24:35 GMT 2025","passed","Sun Apr 06 20:24:35 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","26","No Auth - Search Customers","QA|Nova Bank - Infopool","Sun Apr 06 20:24:39 GMT 2025","passed","Sun Apr 06 20:24:39 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","57","Update definition","QA|Nova Bank - Infopool","Sun Apr 06 20:24:50 GMT 2025","passed","Sun Apr 06 20:24:50 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","36","Invalid Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Apr 06 20:24:35 GMT 2025","passed","Sun Apr 06 20:24:35 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","48","Update organization details by ID - incorrect operation manager ID","QA|Nova Bank - Infopool","Sun Apr 06 20:24:52 GMT 2025","failed","Sun Apr 06 20:24:52 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","25","Add user to an organization - no auth","QA|Nova Bank - Infopool","Sun Apr 06 20:24:52 GMT 2025","passed","Sun Apr 06 20:24:52 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","24","Get role by ID - no auth","QA|Nova Bank - Infopool","Sun Apr 06 20:24:53 GMT 2025","passed","Sun Apr 06 20:24:53 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","6","New Request","QA|Nova Bank - Infopool","Sun Apr 06 20:24:50 GMT 2025","broken","Sun Apr 06 20:24:50 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","73","Search Customers","QA|Nova Bank - Infopool","Sun Apr 06 20:24:39 GMT 2025","passed","Sun Apr 06 20:24:39 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","65","No auth - Create a New Issue","QA|Nova Bank - Infopool","Sun Apr 06 20:24:38 GMT 2025","passed","Sun Apr 06 20:24:38 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","39","Get single definition","QA|Nova Bank - Infopool","Sun Apr 06 20:24:50 GMT 2025","passed","Sun Apr 06 20:24:50 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","857","Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Sun Apr 06 20:24:39 GMT 2025","passed","Sun Apr 06 20:24:40 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","52","Update Customer Comment","QA|Nova Bank - Infopool","Sun Apr 06 20:24:39 GMT 2025","passed","Sun Apr 06 20:24:39 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","27","No Auth - Fetch all users","QA|Nova Bank - Infopool","Sun Apr 06 20:24:50 GMT 2025","passed","Sun Apr 06 20:24:50 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","45","Update organization details by ID - parent_id","QA|Nova Bank - Infopool","Sun Apr 06 20:24:52 GMT 2025","passed","Sun Apr 06 20:24:52 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","28","Update organization details by ID - No auth","QA|Nova Bank - Infopool","Sun Apr 06 20:24:52 GMT 2025","passed","Sun Apr 06 20:24:52 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","89","Add Comment to Customer","QA|Nova Bank - Infopool","Sun Apr 06 20:24:38 GMT 2025","passed","Sun Apr 06 20:24:39 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
